20,85272622
29,97656527
29,20214942
22,90415039
56,86171648
25,32533594
44,44141353
52,22591943
41,66464417
14,23835685
65,26400682
13,82074126
14,26570605
21,32357377
25,20543725
15,39967681
54,12373956
11,98962853
25,2711447
50,16990098
38,9058357
18,96868894
22,49659533
41,78395915
27,5763907
36,70411594
23,05721499
37,02942366
18,58735275
31,83365765
75,59245089
48,96711526
32,18239249
50,47471444
29,2172157
63,08526206
40,92381287
50,22178372
10,71129133
56,68728925
34,73104575
23,41007165
29,24292981
20,64644402
19,78975571
62,79240498
13,59123766
14,60509444
26,13853944
35,31061428
28,63130058
33,74707991
46,43603773
43,62577712
72,78190321
37,92110913
37,16611821
48,23660405
21,32206666
67,46375059
33,03748399
48,78873606
31,27046156
48,50518476
38,44999104
46,43812376
34,7986909
39,06894528
54,05465668
46,47557655
40,8686145
50,26426019
64,29727702
42,60003095
34,79565516
27,23971749
35,14500481
32,33140704
19,78713383
26,96784985
39,16612254
33,02596061
32,55012167
32,69761954
39,58514596
22,6496695
25,07349846
56,72699552
37,16215188
41,44885764
24,29880272
43,19120419
47,35821938
30,65227044
18,56019493
75,59245089
48,33688643
35,70871523
15,29764691
28,06413578
35,05652092
34,88876802
25,11846525
46,51142176
29,85954923
35,07306082
40,86728442
23,3688487
44,32736624
14,84209051
57,66079385
54,59042103
27,06894559
28,89266871
57,27263502
34,44441325
53,38700376
62,53697197
39,99295938
36,49709454
46,4690936
35,45512186
18,56019493
15,11465668
19,71970158
38,31382278
30,67282211
42,90927004
12,46673296
41,29091528
72,28825171
38,31542318
60,54271139
7,483943211
12,29483851
48,15059372
16,43525506
36,41356975
16,50109169
29,35332655
26,19378566
39,88946662
37,37945031
19,48159193
67,1314456
25,76364075
38,95192445
13,46053685
25,54245016
23,51187071
71,62639757
56,44500396
55,89486706
