29,28840139
36,88788484
25,91295942
24,95099375
48,66412227
25,57046715
67,85455561
39,03475437
33,56622558
21,83195543
62,3259944
26,00838371
25,00430226
24,0186329
23,76429589
24,68648957
43,01983335
15,33984356
42,34040304
38,73297343
32,66615533
26,09602243
24,91241838
34,82374339
21,66261156
30,92014562
36,36034229
32,63041682
22,96375671
49,80628393
59,76347316
27,24028181
35,90494906
36,73190851
36,65356796
58,47158876
36,98253483
42,53710102
24,4646311
35,72385014
31,23083104
19,79892116
23,00106473
20,13390139
24,10313401
45,37680727
29,09844347
19,59255592
34,84054044
40,00963787
21,10052859
30,38715446
41,37134628
35,52235028
55,85237283
27,75447879
29,20859786
59,22413346
24,65251964
49,83179099
22,18337138
36,09159848
20,3428396
46,67506497
48,17961061
38,16104181
31,10707835
35,79900774
52,59992702
36,87920129
37,12448157
38,04305021
50,52627081
39,15398538
47,24166027
28,15864444
47,73262772
23,71742768
21,93781007
22,59605531
36,6639039
50,25326683
32,52332744
31,45989235
46,45769779
28,89854111
22,4303895
44,77760062
44,17438502
32,02340212
34,47505755
54,08317445
52,9393536
28,83162347
18,33194933
59,76347316
50,18848558
33,25930326
24,7018805
22,24863448
28,64762714
30,1962467
18,91959905
38,3320647
34,40530298
27,79710308
36,75935553
21,25736148
31,16619487
17,30108664
50,47169445
44,05955222
28,0676827
22,19333987
45,92846303
38,32206141
41,50003594
55,2860138
30,37448499
30,66991215
39,6311685
36,23103391
18,33194933
21,86862191
25,67788973
31,93023936
31,48442762
47,59608594
18,29443801
30,92598335
49,84796495
34,64494556
53,03534621
11,51892436
21,27233487
43,87315988
25,64465027
28,57348543
20,24939511
33,61495166
21,69834152
32,20679674
27,42185011
32,09650136
54,20054756
19,34617437
32,44663603
18,58587357
35,72744142
23,95430675
51,73049569
57,97035585
41,45273162
